Date,Custody/AOR/Facility,Confirmed cases currently under isolation or monitoring,Detainee deaths,Total confirmed COVID-19 cases
8/10/2020,Bluebonnet Detention Facility,1,0,293
8/10/2020,Johnson County Law Enforcement Center,1,0,1
8/10/2020,Kay County Detention Center,0,0,1
8/10/2020,Moore Detention Center,12,0,21
8/10/2020,Prairieland Detention Facility,8,0,72
8/10/2020,Rolling Plains Detention Center,0,0,55
8/10/2020,Aurora Contract Detention Facility,3,0,20
8/10/2020,Calhoun County Correctional Center,5,0,11
8/10/2020,Morrow County Correctional Facility,0,0,48
8/10/2020,Saint Clair County Jail,2,0,10
8/10/2020,Cibola County Correctional Center,1,0,1
8/10/2020,El Paso Service Processing Center,11,0,168
8/10/2020,Otero County Processing Center,0,0,150
8/10/2020,Torrance County Detention Center,0,0,55
8/10/2020,Houston Contract Detention Facility,1,0,125
8/10/2020,IAH Polk Adult Detention Facility,2,0,18
8/10/2020,Joe Corley Detention Center,9,0,50
8/10/2020,Montgomery Processing Center (Houston),0,0,206
8/10/2020,Adelanto ICE Processing Center,4,0,12
8/10/2020,Baker County Detention Center,0,0,3
8/10/2020,Broward Transitional Center,32,0,68
8/10/2020,Glades County Detention Center,11,1,149
8/10/2020,Krome North Service Processing Center,41,0,150
8/10/2020,Wakulla County Jail,5,0,6
8/10/2020,Elizabeth Detention Center,0,0,18
8/10/2020,Essex County Jail,4,0,8
8/10/2020,Adams County Correctional Center,5,0,41
8/10/2020,Alexandria Staging Facility,39,0,119
8/10/2020,Allen Parish Detention Center,0,0,1
8/10/2020,Catahoula Correctional Center,14,0,116
8/10/2020,Etowah County Jail,19,0,21
8/10/2020,Jackson Parish Correctional,3,0,5
8/10/2020,LaSalle ICE Processing Center - Jena,2,0,20
8/10/2020,LaSalle ICE Processing Center - Olla,14,0,23
8/10/2020,Pine Prairie ICE Processing Center,32,0,63
8/10/2020,Richwood Correctional Center,5,0,70
8/10/2020,River Correctional Center,7,0,11
8/10/2020,South Louisiana Correctional Center,3,0,3
8/10/2020,Winn Correctional Center,24,0,152
8/10/2020,Bergen County Jail,2,0,4
8/10/2020,Hudson County Jail,5,0,14
8/10/2020,Pike County Correctional Facility,0,0,22
8/10/2020,York County Prison,0,0,2
8/10/2020,CCA Florence Correctional Center,2,0,18
8/10/2020,Eloy Federal Contract Facility,0,0,247
8/10/2020,Florence Detention Center,10,0,60
8/10/2020,La Palma Correctional Facility,13,0,120
8/10/2020,Henderson Detention Center,5,0,5
8/10/2020,Nevada Southern Detention Center,3,0,10
8/10/2020,Nye County Jail,34,0,37
8/10/2020,Washington County Jail,1,0,2
8/10/2020,El Valle Detention Facility,23,0,24
8/10/2020,Karnes County Family Residential Center,13,0,73
8/10/2020,Limestone County Detention Center,4,0,4
8/10/2020,Port Isabel Detention Center,19,0,131
8/10/2020,Rio Grande Detention Center,114,0,114
8/10/2020,South Texas Family Residential Center (Dilley),2,0,3
8/10/2020,South Texas ICE Processing Center (Pearsall),18,0,149
8/10/2020,Webb County Detention Center (CCA),75,0,82
8/10/2020,Imperial Regional Detention Facility,0,0,2
8/10/2020,Otay Mesa Detention Center (San Diego CDF),0,1,166
8/10/2020,San Luis Regional Detention Center,1,0,10
8/10/2020,Mesa Verde ICE Processing Center,10,0,10
8/10/2020,Northwest ICE Processing Center (NWIPC),0,0,7
8/10/2020,Freeborn County Adult Detention Center,0,0,2
8/10/2020,Linn County Jail,1,0,2
8/10/2020,Polk County Jail,1,0,12
8/10/2020,Caroline Detention Facility,1,0,5
8/10/2020,Immigration Centers of America - Farmville,259,1,339
8/11/2020,Charleston County Detention Center,2,0,2
8/11/2020,Columbia Regional Care Center,1,0,1
8/11/2020,Folkston ICE Processing Center (Main),43,0,45
8/11/2020,Irwin County Detention Center,23,0,31
8/11/2020,Sheriff Al Cannon Detention Center,0,0,1
8/11/2020,Stewart Detention Center,21,1,154
8/11/2020,Bristol County Detention Center,0,0,1
8/11/2020,Franklin County House of Corrections,5,0,7
8/11/2020,Strafford County Corrections,2,0,2
8/11/2020,Wyatt Detention Center,0,0,2
8/11/2020,Buffalo (Batavia) Service Processing Center,0,0,49
8/11/2020,Chase County Detention Facility,27,0,27
8/11/2020,Lincoln County Detention Center,0,0,1
8/11/2020,McHenry County Adult Correctional Facility,3,0,4
8/11/2020,Pulaski County Detention Center,3,0,51
8/11/2020,Bluebonnet Detention Facility,1,0,293
8/11/2020,Johnson County Law Enforcement Center,1,0,1
8/11/2020,Kay County Detention Center,0,0,1
8/11/2020,Moore Detention Center,12,0,21
8/11/2020,Prairieland Detention Facility,8,0,72
8/11/2020,Rolling Plains Detention Center,0,0,55
8/11/2020,Aurora Contract Detention Facility,3,0,20
8/11/2020,Calhoun County Correctional Center,6,0,12
8/11/2020,Morrow County Correctional Facility,0,0,48
8/11/2020,Saint Clair County Jail,2,0,10
8/11/2020,Cibola County Correctional Center,1,0,1
8/11/2020,El Paso Service Processing Center,13,0,170
8/11/2020,Otero County Processing Center,0,0,150
8/11/2020,Torrance County Detention Center,0,0,55
8/11/2020,Houston Contract Detention Facility,1,0,125
8/11/2020,IAH Polk Adult Detention Facility,2,0,18
8/11/2020,Joe Corley Detention Center,9,0,50
8/11/2020,Montgomery Processing Center (Houston),0,0,206
8/11/2020,Adelanto ICE Processing Center,4,0,12
8/11/2020,Baker County Detention Center,0,0,3
8/11/2020,Broward Transitional Center,35,0,71
8/11/2020,Glades County Detention Center,11,1,149
8/11/2020,Krome North Service Processing Center,41,0,150
8/11/2020,Larkin Behavioral Health Center,2,0,2
8/11/2020,Wakulla County Jail,14,0,15
8/11/2020,Elizabeth Detention Center,0,0,18
8/11/2020,Essex County Jail,4,0,8
8/11/2020,Adams County Correctional Center,5,0,41
8/11/2020,Alexandria Staging Facility,39,0,119
8/11/2020,Allen Parish Detention Center,0,0,1
8/11/2020,Catahoula Correctional Center,14,0,116
8/11/2020,Etowah County Jail,19,0,21
8/11/2020,Jackson Parish Correctional,3,0,5
8/11/2020,LaSalle ICE Processing Center - Jena,2,0,20
8/11/2020,LaSalle ICE Processing Center - Olla,14,0,23
8/11/2020,Pine Prairie ICE Processing Center,33,0,64
8/11/2020,Richwood Correctional Center,5,0,70
8/11/2020,River Correctional Center,7,0,11
8/11/2020,South Louisiana Correctional Center,3,0,3
8/11/2020,Winn Correctional Center,24,0,152
8/11/2020,Bergen County Jail,2,0,4
8/11/2020,Hudson County Jail,5,0,14
8/11/2020,Pike County Correctional Facility,0,0,22
8/11/2020,York County Prison,0,0,2
8/11/2020,CCA Florence Correctional Center,2,0,18
8/11/2020,Eloy Federal Contract Facility,0,0,247
8/11/2020,Florence Detention Center,4,0,60
8/11/2020,La Palma Correctional Facility,13,0,120
8/11/2020,Henderson Detention Center,5,0,5
8/11/2020,Nevada Southern Detention Center,3,0,10
8/11/2020,Nye County Jail,34,0,37
8/11/2020,Washington County Jail,1,0,2
8/11/2020,El Valle Detention Facility,23,0,24
8/11/2020,Karnes County Family Residential Center,13,0,73
8/11/2020,Limestone County Detention Center,4,0,4
8/11/2020,Port Isabel Detention Center,18,0,131
8/11/2020,Rio Grande Detention Center,114,0,114
8/11/2020,South Texas Family Residential Center (Dilley),2,0,3
8/11/2020,South Texas ICE Processing Center (Pearsall),24,0,155
8/11/2020,Webb County Detention Center (CCA),74,0,82
8/11/2020,Imperial Regional Detention Facility,0,0,2
8/11/2020,Otay Mesa Detention Center (San Diego CDF),2,1,168
8/11/2020,San Luis Regional Detention Center,1,0,10
8/11/2020,Mesa Verde ICE Processing Center,10,0,10
8/11/2020,Northwest ICE Processing Center (NWIPC),0,0,7
8/11/2020,Freeborn County Adult Detention Center,0,0,2
8/11/2020,Linn County Jail,1,0,2
8/11/2020,Polk County Jail,1,0,12
8/11/2020,Caroline Detention Facility,1,0,5
8/11/2020,Immigration Centers of America - Farmville,259,1,339
8/12/2020,Charleston County Detention Center,2,0,2
8/12/2020,Columbia Regional Care Center,1,0,1
8/12/2020,Folkston ICE Processing Center (Main),43,0,45
8/12/2020,Irwin County Detention Center,23,0,31
8/12/2020,Sheriff Al Cannon Detention Center,0,0,1
8/12/2020,Stewart Detention Center,21,1,154
8/12/2020,Bristol County Detention Center,0,0,1
8/12/2020,Franklin County House of Corrections,5,0,7
8/12/2020,Strafford County Corrections,2,0,2
8/12/2020,Wyatt Detention Center,0,0,2
8/12/2020,Buffalo (Batavia) Service Processing Center,0,0,49
8/12/2020,Chase County Detention Facility,27,0,27
8/12/2020,Lincoln County Detention Center,0,0,1
8/12/2020,McHenry County Adult Correctional Facility,3,0,4
8/12/2020,Pulaski County Detention Center,3,0,51
8/12/2020,Bluebonnet Detention Facility,1,0,293
8/12/2020,Johnson County Law Enforcement Center,1,0,1
8/12/2020,Kay County Detention Center,0,0,1
8/12/2020,Moore Detention Center,12,0,21
8/12/2020,Prairieland Detention Facility,8,0,72
8/12/2020,Rolling Plains Detention Center,0,0,55
8/12/2020,Aurora Contract Detention Facility,3,0,20
8/12/2020,Calhoun County Correctional Center,6,0,12
8/12/2020,Morrow County Correctional Facility,0,0,48
8/12/2020,Saint Clair County Jail,2,0,10
8/12/2020,Cibola County Correctional Center,1,0,1
8/12/2020,El Paso Service Processing Center,13,0,170
8/12/2020,Otero County Processing Center,0,0,150
8/12/2020,Torrance County Detention Center,0,0,55
8/12/2020,Houston Contract Detention Facility,1,0,125
8/12/2020,IAH Polk Adult Detention Facility,2,0,18
8/12/2020,Joe Corley Detention Center,9,0,50
8/12/2020,Montgomery Processing Center (Houston),0,0,206
8/12/2020,Adelanto ICE Processing Center,4,0,12
8/12/2020,Baker County Detention Center,0,0,3
8/12/2020,Broward Transitional Center,35,0,71
8/12/2020,Glades County Detention Center,11,1,149
8/12/2020,Krome North Service Processing Center,41,0,150
8/12/2020,Larkin Behavioral Health Center,2,0,2
8/12/2020,Wakulla County Jail,14,0,15
8/12/2020,Elizabeth Detention Center,0,0,18
8/12/2020,Essex County Jail,4,0,8
8/12/2020,Adams County Correctional Center,5,0,41
8/12/2020,Alexandria Staging Facility,39,0,119
8/12/2020,Allen Parish Detention Center,0,0,1
8/12/2020,Catahoula Correctional Center,14,0,116
8/12/2020,Etowah County Jail,19,0,21
8/12/2020,Jackson Parish Correctional,3,0,5
8/12/2020,LaSalle ICE Processing Center - Jena,2,0,20
8/12/2020,LaSalle ICE Processing Center - Olla,14,0,23
8/12/2020,Pine Prairie ICE Processing Center,33,0,64
8/12/2020,Richwood Correctional Center,5,0,70
8/12/2020,River Correctional Center,7,0,11
8/12/2020,South Louisiana Correctional Center,3,0,3
8/12/2020,Winn Correctional Center,24,0,152
8/12/2020,Bergen County Jail,2,0,4
8/12/2020,Hudson County Jail,5,0,14
8/12/2020,Pike County Correctional Facility,0,0,22
8/12/2020,York County Prison,0,0,2
8/12/2020,CCA Florence Correctional Center,2,0,18
8/12/2020,Eloy Federal Contract Facility,0,0,247
8/12/2020,Florence Detention Center,4,0,60
8/12/2020,La Palma Correctional Facility,13,0,120
8/12/2020,Henderson Detention Center,5,0,5
8/12/2020,Nevada Southern Detention Center,3,0,10
8/12/2020,Nye County Jail,34,0,37
8/12/2020,Washington County Jail,1,0,2
8/12/2020,El Valle Detention Facility,23,0,24
8/12/2020,Karnes County Family Residential Center,13,0,73
8/12/2020,Limestone County Detention Center,4,0,4
8/12/2020,Port Isabel Detention Center,18,0,131
8/12/2020,Rio Grande Detention Center,114,0,114
8/12/2020,South Texas Family Residential Center (Dilley),2,0,3
8/12/2020,South Texas ICE Processing Center (Pearsall),24,0,155
8/12/2020,Webb County Detention Center (CCA),74,0,82
8/12/2020,Imperial Regional Detention Facility,0,0,2
8/12/2020,Otay Mesa Detention Center (San Diego CDF),2,1,168
8/12/2020,San Luis Regional Detention Center,1,0,10
8/12/2020,Mesa Verde ICE Processing Center,10,0,10
8/12/2020,Northwest ICE Processing Center (NWIPC),0,0,7
8/12/2020,Freeborn County Adult Detention Center,0,0,2
8/12/2020,Linn County Jail,1,0,2
8/12/2020,Polk County Jail,1,0,12
8/12/2020,Caroline Detention Facility,1,0,5
8/12/2020,Immigration Centers of America - Farmville,259,1,339
8/13/2020,Charleston County Detention Center,2,0,2
8/13/2020,Columbia Regional Care Center,1,0,1
8/13/2020,Folkston ICE Processing Center (Main),43,0,45
8/13/2020,Irwin County Detention Center,23,0,31
8/13/2020,Sheriff Al Cannon Detention Center,0,0,1
8/13/2020,Stewart Detention Center,21,2,154
8/13/2020,Bristol County Detention Center,0,0,1
8/13/2020,Franklin County House of Corrections,5,0,7
8/13/2020,Strafford County Corrections,2,0,2
8/13/2020,Wyatt Detention Center,0,0,2
8/13/2020,Buffalo (Batavia) Service Processing Center,0,0,49
8/13/2020,Chase County Detention Facility,27,0,27
8/13/2020,Lincoln County Detention Center,0,0,1
8/13/2020,McHenry County Adult Correctional Facility,3,0,4
8/13/2020,Pulaski County Detention Center,3,0,51
8/13/2020,Bluebonnet Detention Facility,1,0,293
8/13/2020,Johnson County Law Enforcement Center,1,0,1
8/13/2020,Kay County Detention Center,0,0,1
8/13/2020,Moore Detention Center,12,0,21
8/13/2020,Prairieland Detention Facility,8,0,72
8/13/2020,Rolling Plains Detention Center,0,0,55
8/13/2020,Aurora Contract Detention Facility,3,0,20
8/13/2020,Calhoun County Correctional Center,6,0,12
8/13/2020,Morrow County Correctional Facility,0,0,48
8/13/2020,Saint Clair County Jail,2,0,10
8/13/2020,Cibola County Correctional Center,1,0,1
8/13/2020,El Paso Service Processing Center,13,0,170
8/13/2020,Otero County Processing Center,0,0,150
8/13/2020,Torrance County Detention Center,0,0,55
8/13/2020,Houston Contract Detention Facility,1,0,125
8/13/2020,IAH Polk Adult Detention Facility,2,0,18
8/13/2020,Joe Corley Detention Center,9,0,50
8/13/2020,Montgomery Processing Center (Houston),0,0,206
8/13/2020,Adelanto ICE Processing Center,2,0,12
8/13/2020,Baker County Detention Center,0,0,3
8/13/2020,Broward Transitional Center,35,0,72
8/13/2020,Glades County Detention Center,12,1,150
8/13/2020,Krome North Service Processing Center,29,0,147
8/13/2020,Larkin Behavioral Health Center,2,0,2
8/13/2020,San Juan Staging Facility,1,0,1
8/13/2020,Wakulla County Jail,25,0,26
8/13/2020,Elizabeth Detention Center,0,0,18
8/13/2020,Essex County Jail,4,0,8
8/13/2020,Adams County Correctional Center,5,0,41
8/13/2020,Alexandria Staging Facility,39,0,119
8/13/2020,Allen Parish Detention Center,0,0,1
8/13/2020,Catahoula Correctional Center,14,0,116
8/13/2020,Etowah County Jail,19,0,21
8/13/2020,Jackson Parish Correctional,3,0,5
8/13/2020,LaSalle ICE Processing Center - Jena,2,0,20
8/13/2020,LaSalle ICE Processing Center - Olla,14,0,23
8/13/2020,Pine Prairie ICE Processing Center,33,0,64
8/13/2020,Richwood Correctional Center,8,0,73
8/13/2020,River Correctional Center,7,0,11
8/13/2020,South Louisiana Correctional Center,3,0,3
8/13/2020,Winn Correctional Center,24,0,152
8/13/2020,Bergen County Jail,2,0,4
8/13/2020,Hudson County Jail,5,0,14
8/13/2020,Pike County Correctional Facility,0,0,22
8/13/2020,York County Prison,2,0,4
8/13/2020,CCA Florence Correctional Center,2,0,18
8/13/2020,Eloy Federal Contract Facility,0,0,247
8/13/2020,Florence Detention Center,4,0,60
8/13/2020,La Palma Correctional Facility,2,0,120
8/13/2020,Henderson Detention Center,5,0,5
8/13/2020,Nevada Southern Detention Center,3,0,10
8/13/2020,Nye County Jail,34,0,37
8/13/2020,Washington County Jail,1,0,2
8/13/2020,El Valle Detention Facility,23,0,24
8/13/2020,Karnes County Family Residential Center,13,0,73
8/13/2020,Limestone County Detention Center,4,0,4
8/13/2020,Port Isabel Detention Center,19,0,132
8/13/2020,Rio Grande Detention Center,114,0,114
8/13/2020,South Texas Family Residential Center (Dilley),2,0,3
8/13/2020,South Texas ICE Processing Center (Pearsall),24,0,155
8/13/2020,Webb County Detention Center (CCA),74,0,82
8/13/2020,Imperial Regional Detention Facility,0,0,2
8/13/2020,Otay Mesa Detention Center (San Diego CDF),2,1,168
8/13/2020,San Luis Regional Detention Center,1,0,10
8/13/2020,Mesa Verde ICE Processing Center,10,0,10
8/13/2020,Northwest ICE Processing Center (NWIPC),0,0,7
8/13/2020,Freeborn County Adult Detention Center,0,0,2
8/13/2020,Linn County Jail,1,0,2
8/13/2020,Phelps County Jail,0,0,1
8/13/2020,Polk County Jail,1,0,12
8/13/2020,Caroline Detention Facility,1,0,5
8/13/2020,Immigration Centers of America - Farmville,259,1,339
8/14/2020,Charleston County Detention Center,2,0,2
8/14/2020,Columbia Regional Care Center,1,0,1
8/14/2020,Folkston ICE Processing Center (Main),10,0,51
8/14/2020,Irwin County Detention Center,23,0,31
8/14/2020,Sheriff Al Cannon Detention Center,0,0,1
8/14/2020,Stewart Detention Center,5,2,158
8/14/2020,Bristol County Detention Center,0,0,1
8/14/2020,Franklin County House of Corrections,5,0,7
8/14/2020,Strafford County Corrections,2,0,2
8/14/2020,Wyatt Detention Center,0,0,2
8/14/2020,Buffalo (Batavia) Service Processing Center,0,0,49
8/14/2020,Chase County Detention Facility,32,0,32
8/14/2020,Lincoln County Detention Center,0,0,1
8/14/2020,McHenry County Adult Correctional Facility,3,0,4
8/14/2020,Pulaski County Detention Center,5,0,53
8/14/2020,Bluebonnet Detention Facility,1,0,293
8/14/2020,Johnson County Law Enforcement Center,1,0,1
8/14/2020,Kay County Detention Center,0,0,1
8/14/2020,Moore Detention Center,12,0,21
8/14/2020,Prairieland Detention Facility,8,0,72
8/14/2020,Rolling Plains Detention Center,0,0,55
8/14/2020,Aurora Contract Detention Facility,6,0,23
8/14/2020,Calhoun County Correctional Center,6,0,12
8/14/2020,Morrow County Correctional Facility,0,0,48
8/14/2020,Saint Clair County Jail,2,0,10
8/14/2020,Cibola County Correctional Center,0,0,1
8/14/2020,El Paso Service Processing Center,14,0,171
8/14/2020,Otero County Processing Center,0,0,150
8/14/2020,Torrance County Detention Center,0,0,55
8/14/2020,Houston Contract Detention Facility,1,0,125
8/14/2020,IAH Polk Adult Detention Facility,2,0,18
8/14/2020,Joe Corley Detention Center,9,0,50
8/14/2020,Montgomery Processing Center (Houston),0,0,206
8/14/2020,Adelanto ICE Processing Center,3,0,13
8/14/2020,Baker County Detention Center,0,0,3
8/14/2020,Broward Transitional Center,35,0,72
8/14/2020,Glades County Detention Center,12,1,150
8/14/2020,Krome North Service Processing Center,30,0,148
8/14/2020,Larkin Behavioral Health Center,2,0,2
8/14/2020,San Juan Staging Facility,0,0,1
8/14/2020,Wakulla County Jail,27,0,28
8/14/2020,Elizabeth Detention Center,0,0,18
8/14/2020,Essex County Jail,4,0,8
8/14/2020,Adams County Correctional Center,5,0,41
8/14/2020,Alexandria Staging Facility,41,0,123
8/14/2020,Allen Parish Detention Center,9,0,10
8/14/2020,Catahoula Correctional Center,15,0,117
8/14/2020,Etowah County Jail,19,0,21
8/14/2020,Jackson Parish Correctional,3,0,5
8/14/2020,LaSalle ICE Processing Center - Jena,4,0,23
8/14/2020,LaSalle ICE Processing Center - Olla,14,0,23
8/14/2020,Pine Prairie ICE Processing Center,0,0,64
8/14/2020,Richwood Correctional Center,8,0,73
8/14/2020,River Correctional Center,9,0,13
8/14/2020,South Louisiana Correctional Center,3,0,3
8/14/2020,Winn Correctional Center,27,0,155
8/14/2020,Bergen County Jail,2,0,4
8/14/2020,Hudson County Jail,5,0,14
8/14/2020,Pike County Correctional Facility,0,0,22
8/14/2020,York County Prison,3,0,5
8/14/2020,CCA Florence Correctional Center,2,0,18
8/14/2020,Eloy Federal Contract Facility,0,0,247
8/14/2020,Florence Detention Center,1,0,60
8/14/2020,La Palma Correctional Facility,4,0,122
8/14/2020,Henderson Detention Center,9,0,9
8/14/2020,Nevada Southern Detention Center,3,0,10
8/14/2020,Nye County Jail,34,0,37
8/14/2020,Washington County Jail,1,0,2
8/14/2020,El Valle Detention Facility,26,0,27
8/14/2020,Karnes County Family Residential Center,13,0,73
8/14/2020,Limestone County Detention Center,5,0,5
8/14/2020,Port Isabel Detention Center,20,0,133
8/14/2020,Rio Grande Detention Center,156,0,156
8/14/2020,South Texas Family Residential Center (Dilley),2,0,3
8/14/2020,South Texas ICE Processing Center (Pearsall),24,0,155
8/14/2020,Webb County Detention Center (CCA),74,0,82
8/14/2020,Imperial Regional Detention Facility,0,0,2
8/14/2020,Otay Mesa Detention Center (San Diego CDF),2,1,168
8/14/2020,San Luis Regional Detention Center,2,0,11
8/14/2020,Mesa Verde ICE Processing Center,13,0,13
8/14/2020,Northwest ICE Processing Center (NWIPC),1,0,8
8/14/2020,Freeborn County Adult Detention Center,0,0,2
8/14/2020,Linn County Jail,1,0,2
8/14/2020,Phelps County Jail,0,0,1
8/14/2020,Polk County Jail,1,0,12
8/14/2020,Caroline Detention Facility,1,0,5
8/14/2020,Immigration Centers of America - Farmville,250,1,339
8/15/2020,Charleston County Detention Center,2,0,2
8/15/2020,Columbia Regional Care Center,1,0,1
8/15/2020,Folkston ICE Processing Center (Main),10,0,51
8/15/2020,Irwin County Detention Center,23,0,31
8/15/2020,Sheriff Al Cannon Detention Center,0,0,1
8/15/2020,Stewart Detention Center,5,2,158
8/15/2020,Bristol County Detention Center,0,0,1
8/15/2020,Franklin County House of Corrections,5,0,7
8/15/2020,Strafford County Corrections,2,0,2
8/15/2020,Wyatt Detention Center,0,0,2
8/15/2020,Buffalo (Batavia) Service Processing Center,0,0,49
8/15/2020,Chase County Detention Facility,32,0,32
8/15/2020,Lincoln County Detention Center,0,0,1
8/15/2020,McHenry County Adult Correctional Facility,3,0,4
8/15/2020,Pulaski County Detention Center,5,0,53
8/15/2020,Bluebonnet Detention Facility,1,0,293
8/15/2020,Johnson County Law Enforcement Center,1,0,1
8/15/2020,Kay County Detention Center,0,0,1
8/15/2020,Moore Detention Center,12,0,21
8/15/2020,Prairieland Detention Facility,8,0,72
8/15/2020,Rolling Plains Detention Center,0,0,55
8/15/2020,Aurora Contract Detention Facility,6,0,23
8/15/2020,Calhoun County Correctional Center,6,0,12
8/15/2020,Morrow County Correctional Facility,0,0,48
8/15/2020,Saint Clair County Jail,2,0,10
8/15/2020,Cibola County Correctional Center,0,0,1
8/15/2020,El Paso Service Processing Center,14,0,171
8/15/2020,Otero County Processing Center,0,0,150
8/15/2020,Torrance County Detention Center,0,0,55
8/15/2020,Houston Contract Detention Facility,1,0,125
8/15/2020,IAH Polk Adult Detention Facility,2,0,18
8/15/2020,Joe Corley Detention Center,9,0,50
8/15/2020,Montgomery Processing Center (Houston),0,0,206
8/15/2020,Adelanto ICE Processing Center,3,0,13
8/15/2020,Baker County Detention Center,0,0,3
8/15/2020,Broward Transitional Center,35,0,72
8/15/2020,Glades County Detention Center,12,1,150
8/15/2020,Krome North Service Processing Center,30,0,148
8/15/2020,Larkin Behavioral Health Center,2,0,2
8/15/2020,San Juan Staging Facility,0,0,1
8/15/2020,Wakulla County Jail,27,0,28
8/15/2020,Elizabeth Detention Center,0,0,18
8/15/2020,Essex County Jail,4,0,8
8/15/2020,Adams County Correctional Center,5,0,41
8/15/2020,Alexandria Staging Facility,41,0,123
8/15/2020,Allen Parish Detention Center,9,0,10
8/15/2020,Catahoula Correctional Center,15,0,117
8/15/2020,Etowah County Jail,19,0,21
8/15/2020,Jackson Parish Correctional,3,0,5
8/15/2020,LaSalle ICE Processing Center - Jena,4,0,23
8/15/2020,LaSalle ICE Processing Center - Olla,14,0,23
8/15/2020,Pine Prairie ICE Processing Center,0,0,64
8/15/2020,Richwood Correctional Center,8,0,73
8/15/2020,River Correctional Center,9,0,13
8/15/2020,South Louisiana Correctional Center,3,0,3
8/15/2020,Winn Correctional Center,27,0,155
8/15/2020,Bergen County Jail,2,0,4
8/15/2020,Hudson County Jail,5,0,14
8/15/2020,Pike County Correctional Facility,0,0,22
8/15/2020,York County Prison,3,0,5
8/15/2020,CCA Florence Correctional Center,2,0,18
8/15/2020,Eloy Federal Contract Facility,0,0,247
8/15/2020,Florence Detention Center,1,0,60
8/15/2020,La Palma Correctional Facility,4,0,122
8/15/2020,Henderson Detention Center,9,0,9
8/15/2020,Nevada Southern Detention Center,3,0,10
8/15/2020,Nye County Jail,34,0,37
8/15/2020,Washington County Jail,1,0,2
8/15/2020,El Valle Detention Facility,26,0,27
8/15/2020,Karnes County Family Residential Center,13,0,73
8/15/2020,Limestone County Detention Center,5,0,5
8/15/2020,Port Isabel Detention Center,20,0,133
8/15/2020,Rio Grande Detention Center,156,0,156
8/15/2020,South Texas Family Residential Center (Dilley),2,0,3
8/15/2020,South Texas ICE Processing Center (Pearsall),24,0,155
8/15/2020,Webb County Detention Center (CCA),74,0,82
8/15/2020,Imperial Regional Detention Facility,0,0,2
8/15/2020,Otay Mesa Detention Center (San Diego CDF),2,1,168
8/15/2020,San Luis Regional Detention Center,2,0,11
8/15/2020,Mesa Verde ICE Processing Center,13,0,13
8/15/2020,Northwest ICE Processing Center (NWIPC),1,0,8
8/15/2020,Freeborn County Adult Detention Center,0,0,2
8/15/2020,Linn County Jail,1,0,2
8/15/2020,Phelps County Jail,0,0,1
8/15/2020,Polk County Jail,1,0,12
8/15/2020,Caroline Detention Facility,1,0,5
8/15/2020,Immigration Centers of America - Farmville,250,1,339
8/16/2020,Aurora Contract Detention Facility,6,0,23
8/16/2020,Calhoun County Correctional Center,6,0,12
8/16/2020,Morrow County Correctional Facility,0,0,48
8/16/2020,Saint Clair County Jail,2,0,10
8/16/2020,Cibola County Correctional Center,0,0,1
8/16/2020,El Paso Service Processing Center,14,0,171
8/16/2020,Otero County Processing Center,0,0,150
8/16/2020,Torrance County Detention Center,0,0,55
8/16/2020,Houston Contract Detention Facility,1,0,125
8/16/2020,IAH Polk Adult Detention Facility,2,0,18
8/16/2020,Joe Corley Detention Center,9,0,50
8/16/2020,Montgomery Processing Center (Houston),0,0,206
8/16/2020,Adelanto ICE Processing Center,3,0,13
8/16/2020,Baker County Detention Center,0,0,3
8/16/2020,Broward Transitional Center,35,0,72
8/16/2020,Glades County Detention Center,12,1,150
8/16/2020,Krome North Service Processing Center,30,0,148
8/16/2020,Larkin Behavioral Health Center,2,0,2
8/16/2020,San Juan Staging Facility,0,0,1
8/16/2020,Wakulla County Jail,27,0,28
8/16/2020,Elizabeth Detention Center,0,0,18
8/16/2020,Essex County Jail,4,0,8
8/16/2020,Adams County Correctional Center,5,0,41
8/16/2020,Alexandria Staging Facility,41,0,123
8/16/2020,Allen Parish Detention Center,9,0,10
8/16/2020,Catahoula Correctional Center,15,0,117
8/16/2020,Etowah County Jail,19,0,21
8/16/2020,Jackson Parish Correctional,3,0,5
8/16/2020,LaSalle ICE Processing Center - Jena,4,0,23
8/16/2020,LaSalle ICE Processing Center - Olla,14,0,23
8/16/2020,Pine Prairie ICE Processing Center,0,0,64
8/16/2020,Richwood Correctional Center,8,0,73
8/16/2020,River Correctional Center,9,0,13
8/16/2020,South Louisiana Correctional Center,3,0,3
8/16/2020,Winn Correctional Center,27,0,155
8/16/2020,Bergen County Jail,2,0,4
8/16/2020,Hudson County Jail,5,0,14
8/16/2020,Pike County Correctional Facility,0,0,22
8/16/2020,York County Prison,3,0,5
8/16/2020,CCA Florence Correctional Center,2,0,18
8/16/2020,Eloy Federal Contract Facility,0,0,247
8/16/2020,Florence Detention Center,1,0,60
8/16/2020,La Palma Correctional Facility,4,0,122
8/16/2020,Henderson Detention Center,9,0,9
8/16/2020,Nevada Southern Detention Center,3,0,10
8/16/2020,Nye County Jail,34,0,37
8/16/2020,Washington County Jail,1,0,2
8/16/2020,El Valle Detention Facility,26,0,27
8/16/2020,Karnes County Family Residential Center,13,0,73
8/16/2020,Limestone County Detention Center,5,0,5
8/16/2020,Port Isabel Detention Center,20,0,133
8/16/2020,Rio Grande Detention Center,156,0,156
